"n_years","AF_total_cost","AF_total_investment_cost","AF_total_running_cost","AF_insurance","AF_total_running_cost.1","AF_total_einkorn_cost","AF_total_wheat_cost","AF_total_dinkel_cost","ES3_application","AF_pruning","AF_root_pruning","AF_annual_irrigation_cost","AF_mowing_treerow","AF_nuts_harvest","AF_PPcost_nuts","AF_total_benefit","AF_tree_benefit","AF_einkorn_benefit","AF_wheat_benefit","AF_dinkel_benefit","ES3_subsidy","AF_chance_market_fluc","AF_bottom_line_benefit","AF_bottom_line_benefit_farm"
60,8717.63131648361,0,5938.7952018426,2778.83611464101,5938.7952018426,0,3000.02947227062,0,0,0,0,0.737464901790212,0,108.385313070983,2229.10905657177,268561.757642203,230128.441839218,0,36795.8039956492,0,210,1,259844.12632572,258416.614518384
60,8877.06202615394,0,5779.884657539,3097.17736861494,5779.884657539,0,0,2782.12974483607,0,0,0,0.696256233500965,0,108.316781353001,2331.79395943964,299327.978883828,273467.895088363,0,0,24246.840431893,210,1,290450.916857674,289047.673494102
60,10095.6930656824,0,7107.48311218422,2988.20995349816,7107.48311218422,4200.7887879345,0,0,0,0,0,0.673368621421194,0,101.45525980334,2215.85491971077,288796.778294019,240770.750445197,46334.7599731578,0,0,210,1,278701.085228337,277219.817352673
60,11211.3637586182,0,8490.54192549547,2720.82183312272,8490.54192549547,0,5765.05762986038,0,0,0,0,0.739799854274221,0,103.063654760215,2071.14632481623,262954.943576843,239900.020744744,0,21341.2222234236,0,210,1.34307069079864,338109.423650586,336089.847435338
60,8740.21345369174,0,5775.96665187915,2964.24680181259,5775.96665187915,0,0,2945.01304592637,0,0,0,0.725915037746248,0,104.864340269319,2174.26343711393,286480.849657057,247951.744126032,0,0,36869.4254301458,210,1,277740.636203365,276290.956102486
60,9817.62397092184,0,6576.30484422994,3241.31912669191,6576.30484422994,3561.35082200418,0,0,0,0,0,0.715793244038315,0,95.6441971240342,2302.48057120292,313258.618296073,275104.273989955,36456.4646489586,0,0,210,1,303440.994325151,301953.114667992
60,8282.68588533297,0,5310.27502085333,2972.41086447964,5310.27502085333,0,2263.76361633958,0,0,0,0,0.66685445676906,0,103.030688266582,2365.35244347738,287269.868846713,252929.46344994,0,32610.9052073426,0,210,1,278987.18296138,277467.682771949
60,7260.88151260012,0,4768.32044788716,2492.56106471296,4768.32044788716,0,0,1971.47193652553,0,0,0,0.681597663985015,0,101.493229812789,2079.87307168094,240894.587861046,219814.58823141,0,0,19430.2790192392,210,1.34307040155787,313786.515802859,311852.869664523
60,9593.52407727891,0,6607.08021236081,2986.4438649181,6607.08021236081,3844.26649292323,0,0,0,0,0,0.692605350816415,0,98.4764803943635,2126.216528141,288626.093937819,258222.563158772,28580.2667462926,0,0,210,1.43282770679969,399805.597195703,397494.067791189
60,9312.416519376,0,6212.95917325034,3099.45734612566,6212.95917325034,0,3144.85811493315,0,0,0,0,0.663253462381956,0,111.134803384808,2362.81721411369,299548.3282468,273718.968679557,0,23952.5670654103,0,210,1,290235.911727424,288569.119225591
60,8933.21414283157,0,6025.59842317997,2907.6157196516,6025.59842317997,0,0,3299.30713353704,0,0,0,0.696131715962242,0,105.20208368669,2082.28549779082,281007.715461699,255125.137899522,0,0,23935.75068936,210,1,272074.501318868,270337.674446051
60,10368.2703750908,0,7059.66232060333,3308.60805448746,7059.66232060333,3964.96132327456,0,0,0,0,0,0.70741989332893,0,110.79412995219,2397.4602190796,319761.784360247,282641.180688965,35090.5750379115,0,0,210,1,309393.513985156,307573.485351786
60,8833.25998523468,0,6029.03094221184,2804.22904302283,6029.03094221184,0,3223.7331209215,0,0,0,0,0.674977496987464,0,105.973154245021,2159.3644042285,271015.867635224,243322.540930532,0,25852.6019969819,0,210,1.44228628614188,378142.379478497,375790.407596095
60,7988.5139708247,0,5204.57486271772,2783.93910810698,5204.57486271772,0,0,2166.50517877475,0,0,0,0.694056764276445,0,98.4551672571135,2388.00466186615,269054.938541659,255866.167875721,0,0,11230.0237892081,210,1,261066.424570834,259317.677694104
60,9695.0358216929,0,6402.05187109997,3292.98395059293,6402.05187109997,3283.23784078769,0,0,0,0,0,0.663834849153537,0,112.892347949467,2442.55289637512,318251.78642212,269372.726998671,46889.3800048639,0,0,210,1,308556.750600427,306777.071181843
60,10026.7196187481,0,7287.00640789392,2739.71321085422,7287.00640789392,0,4684.83080162292,0,0,0,0,0.689962505225161,0,107.732072373847,1962.30339815891,264780.708536901,249666.501554417,0,13066.1524086525,0,210,1,254753.988918152,252915.934344321
60,8790.93886213141,0,5991.63716810426,2799.30169402715,5991.63716810426,0,0,2949.06691694586,0,0,0,0.643118773163226,0,103.336585464126,2373.74641865508,270539.661967741,255499.410144674,0,0,13118.3878933594,210,1,261748.723105609,260036.859175902
60,7798.8783086479,0,5176.15372177292,2622.72458687498,5176.15372177292,2639.96561874841,0,0,0,0,0,0.670821325720976,0,103.918016206518,1863.56215564472,253474.294922053,241192.723399396,10369.0898121749,0,0,210,1,245675.416613405,243972.934902923
60,9535.28364538607,0,6610.83974328913,2924.44390209693,6610.83974328913,0,3697.28670189238,0,0,0,0,0.708193347756675,0,93.6989337481937,2266.15420527429,282634.082065916,261496.98691996,0,19278.7361301161,0,210,1,273098.798420529,271450.43940469
60,8503.18605253543,0,5724.41806811405,2778.76798442138,5724.41806811405,0,0,2808.86406710083,0,0,0,0.684681586233702,0,114.282772365871,2241.68204999159,268555.173169145,249199.417711091,0,0,17441.0526134627,210,1,260051.987116609,258347.284272019
60,7953.93040227017,0,5316.20742666843,2637.72297560174,5316.20742666843,2488.68372527361,0,0,0,0,0,0.758237197208896,0,106.609531236147,2169.06267727355,254923.820360792,239884.965199628,13083.2963622697,0,0,210,1,246969.889958522,245224.331159627
60,10992.8682014838,0,8252.13386768968,2740.73433379416,8252.13386768968,0,5411.09063892381,0,0,0,0,0.711823699414554,0,112.267131866006,2105.02833948877,264879.395382834,241281.575764838,0,21603.8514164684,0,210,1,253886.52718135,252102.558979823
60,10063.1921864549,0,6941.06606078628,3122.12612566865,6941.06606078628,0,0,3619.86545604006,0,0,0,0.706200992485674,0,93.5277421261857,2591.53614121658,301739.16175641,285469.216749217,0,0,14438.8405694713,210,1.48309241101073,432582.416943398,430178.169254358
60,9409.22011639098,0,6307.050885579,3102.16923081198,6307.050885579,3238.98583554436,0,0,0,0,0,0.768993975346992,0,97.2141046547902,2372.34229936196,299810.419456153,275500.950993493,22387.7708351284,0,0,210,1,290401.199339762,288689.50171223
60,9451.77607826348,0,6633.03243548836,2818.74364277512,6633.03243548836,0,3528.87655744393,0,0,0,0,0.66284043007824,0,105.032983240335,2445.18407818934,272418.637089819,257743.062488297,0,12674.5878108866,0,210,1,262966.861011556,261175.87422092
60,7710.86153512699,0,5104.09060750342,2606.77092762357,5104.09060750342,0,0,2397.64482163524,0,0,0,0.698346591174058,0,103.311170722058,2027.12218470695,251932.446971103,241028.943651554,0,0,8848.33831554264,210,1,244221.585435976,242376.42043197
